Location,Name,Mode,Size,Segment
"00093aa8","DAT_00093aa8",$d,00000001,".text"
"000350c4","FUN_000350c4",$a,0000006c,".text"
"0003ad68","FUN_0003ad68",$a,0000012c,".text"
"00019344","FUN_00019344",$a,00000094,".text"
"0003b9a8","FUN_0003b9a8",$a,00000090,".text"
"00057184","FUN_00057184",$a,00000060,".text"
"000528f0","FUN_000528f0",$a,00000084,".text"
"0000b9b0","FUN_0000b9b0",$a,0000009c,".text"
"0002ee98","FUN_0002ee98",$a,000000f0,".text"
"0004ef24","FUN_0004ef24",$a,00000058,".text"
"0000ef00","FUN_0000ef00",$a,00000050,".text"
"0000d770","FUN_0000d770",$a,00000074,".text"
"0009770c","DAT_0009770c",$d,00000001,".text"
"0000a7a4","FUN_0000a7a4",$a,0000002c,".text"
"000577e4","FUN_000577e4",$a,00000078,".text"
"0002a330","FUN_0002a330",$a,00000074,".text"
"0004b92c","FUN_0004b92c",$a,0000003c,".text"
"0000a9dc","FUN_0000a9dc",$a,00000078,".text"
"0002b788","FUN_0002b788",$a,00000044,".text"
"0004ea90","FUN_0004ea90",$a,0000006c,".text"
"00013aa8","FUN_00013aa8",$a,00000094,".text"
"000537b0","FUN_000537b0",$a,0000009c,".text"
"000220f4","FUN_000220f4",$a,000000bc,".text"
"00082c08","OnExit",$d,00000001,".text"
"0001dcb8","FUN_0001dcb8",$a,00000058,".text"
"0007e160","FUN_0007e160",$a,00000008,".text"
"00020db0","FUN_00020db0",$a,00000050,".text"
"0002db6c","FUN_0002db6c",$a,000000e4,".text"
"000335a0","FUN_000335a0",$a,00000140,".text"
"00003530","FUN_00003530",$a,00000008,".text"
"000dbae4","DAT_000dbae4",$d,00000001,".text"
"00079ec4","FUN_00079ec4",$a,0000006c,".text"
"00030228","FUN_00030228",$a,00000044,".text"
"0002f34c","FUN_0002f34c",$a,00000058,".text"
"0002e13c","FUN_0002e13c",$a,00000060,".text"
"0001a044","FUN_0001a044",$a,00000098,".text"
"0005d0b4","FUN_0005d0b4",$a,00000098,".text"
"00051d00","FUN_00051d00",$a,000000a0,".text"
"00003774","FUN_00003774",$a,0000006c,".text"
"0005d934","FUN_0005d934",$a,00000050,".text"
"0004f998","FUN_0004f998",$a,0000001c,".text"
"0002391c","FUN_0002391c",$a,0000012c,".text"
"00082c10","OnUnresolved",$d,00000001,".text"
"0000f930","FUN_0000f930",$a,0000008c,".text"
"00043d64","FUN_00043d64",$a,0000016c,".text"
"00011950","FUN_00011950",$a,00000060,".text"
"0007ae8c","FUN_0007ae8c",$a,000000c8,".text"
"000021a8","FUN_000540e8_000021a8",$a,00000004,".text"
"0005113c","FUN_0005113c",$a,00000058,".text"
"00001778","FUN_0004b92c_00001778",$a,00000004,".text"
"00005528","FUN_00005528",$a,0000009c,".text"
"0001af58","FUN_0001af58",$a,0000001c,".text"
"00097ea8","DAT_00097ea8",$d,00000001,".text"
"000189ec","FUN_000189ec",$a,00000060,".text"
"0005b91c","FUN_0005b91c",$a,000000c0,".text"
"00032d48","FUN_00032d48",$a,000002e4,".text"
"0004c438","FUN_0004c438",$a,00000160,".text"
"00005e28","FUN_00005e28",$a,0000003c,".text"
"00093b68","DAT_00093b68",$d,00000001,".text"
"0002c7b0","FUN_0002c7b0",$a,00000060,".text"
"0004bcd4","FUN_0004bcd4",$a,00000054,".text"
"00060658","FUN_00060658",$a,00000338,".text"
"0007e7ac","FUN_0007e7ac",$a,00000008,".text"
"00096e40","DAT_00096e40",$d,00000001,".text"
"0007e0e0","FUN_0007e0e0",$a,00000080,".text"
"0006064c","FUN_0006064c",$a,00000008,".text"
"0004e6b4","FUN_0004e6b4",$a,00000078,".text"
"000007e0","FUN_00005fb4_000007e0",$a,00000004,".text"
"0005c340","FUN_0005c340",$a,00000008,".text"
"00097a4c","DAT_00097a4c",$d,00000001,".text"
"00001450","FUN_0002a330_00001450",$a,00000004,".text"
"0000e530","FUN_0000e530",$a,00000074,".text"
"00005fb4","FUN_00005fb4",$a,00000014,".text"
"00028f18","FUN_00028f18",$a,000000d0,".text"
"0005ffd4","FUN_0005ffd4",$a,00000018,".text"
"00030bf8","FUN_00030bf8",$a,00000090,".text"
"00026d20","FUN_00026d20",$a,000000f8,".text"
"00051afc","FUN_00051afc",$a,0000001c,".text"
"0001150c","FUN_0001150c",$a,000000ac,".text"
"000383a8","FUN_000383a8",$a,000000b4,".text"
"000977e8","DAT_000977e8",$d,00000001,".text"
"0007d02c","FUN_0007d02c",$a,000000d0,".text"
"00029ae8","FUN_00029ae8",$a,00000044,".text"
"00040d98","FUN_00066058_00040d98",$a,00000100,".text"
"000576a4","FUN_000576a4",$a,0000001c,".text"
"0004b90c","FUN_0004b90c",$a,0000001c,".text"
"00005fc8","FUN_00005fc8",$a,000000b0,".text"
"00010428","FUN_00010428",$a,00000090,".text"
"0000dee4","FUN_0000dee4",$a,00000090,".text"
"000240c8","FUN_000240c8",$a,0000008c,".text"
