Location,Name,Mode,Size,Segment
"000534a8","FUN_000534a8",$a,00000078,".text"
"00043a2c","FUN_00043a2c",$a,00000004,".text"
"00053ea0","FUN_00053ea0",$a,00000034,".text"
"0003ef54","FUN_0003ef54",$a,000000a8,".text"
"00039e74","FUN_00039e74",$a,000001b8,".text"
"00053a6c","FUN_00053a6c",$a,000000b4,".text"
"0002be74","FUN_00053df4_0002be74",$a,00000120,".text"
"000540f0","FUN_000540f0",$a,000000a4,".text"
"00051698","FUN_00051698",$a,0000008c,".text"
"0000de28","FUN_0000de28",$a,0000008c,".text"
"0001dcd8","FUN_0001dcd8",$a,0000000c,".text"
"000541a4","FUN_000541a4",$a,00000004,".text"
"0005311c","FUN_0005311c",$a,00000024,".text"
"00006144","FUN_00006144",$a,00000010,".text"
"000334a4","FUN_000334a4",$a,00000314,".text"
"000541a8","FUN_000541a8",$a,0000002c,".text"
"00051f10","FUN_00051f10",$a,0000015c,".text"
"0000a270","FUN_0000a270",$a,00000244,".text"
"00003c8c","FUN_000528f8_00003c8c",$a,00000004,".text"
"00053e7c","FUN_00053e7c",$a,00000024,".text"
"00003b4c","FUN_000531b0_00003b4c",$a,00000004,".text"
"00053920","FUN_00053920",$a,00000024,".text"
"0003f010","FUN_0003f010",$a,0000001c,".text"
"0000612c","FUN_0000612c",$a,00000018,".text"
"00003d1c","FUN_00053fa0_00003d1c",$a,00000004,".text"
"0001e548","FUN_0001e548",$a,000000d8,".text"
"0003c430","FUN_0003c430",$a,000000f4,".text"
"00003af4","FUN_00051608_00003af4",$a,00000004,".text"
"0003b464","FUN_0003b464",$a,00000114,".text"
"00003c24","FUN_00052088_00003c24",$a,00000004,".text"
"00053140","FUN_00053140",$a,00000060,".text"
"00027988","FUN_00027988",$a,000002e4,".text"
"000528f8","FUN_000528f8",$a,00000018,".text"
"00000ff4","FUN_00005e70_00000ff4",$a,00000004,".text"
"000528f4","FUN_000528f4",$a,00000004,".text"
"00052a50","FUN_00052a50",$a,000000c4,".text"
"00055ca0","FUN_00055ca0",$a,00000038,".text"
"00051f0c","FUN_00051f0c",$a,00000004,".text"
"0000a0d4","FUN_0000a0d4",$a,00000014,".text"
"00003b44","FUN_00051a0c_00003b44",$a,00000004,".text"
"00054df8","FUN_00054df8",$a,0000010c,".text"
"00006a08","FUN_00006a08",$a,0000001c,".text"
"0005e850","OnExit",$d,00000001,".text"
"000531f4","FUN_000531f4",$a,000000a4,".text"
"000537b8","FUN_000537b8",$a,000000a0,".text"
"00017818","FUN_00017818",$a,000000b0,".text"
"00051e14","FUN_00051e14",$a,0000005c,".text"
"0003f02c","FUN_0003f02c",$a,00000044,".text"
"000121c4","FUN_000121c4",$a,00000180,".text"
"00024230","FUN_00024230",$a,00000060,".text"
"0005608c","FUN_0005608c",$a,00000024,".text"
"0003cc00","FUN_0003cc00",$a,00000048,".text"
"0008e298","DAT_0008e298",$d,00000001,".text"
"00024110","FUN_00024110",$a,000000ec,".text"
"00052294","FUN_00052294",$a,00000170,".text"
"0000a0c0","FUN_0000a0c0",$a,00000014,".text"
"000531f0","FUN_000531f0",$a,00000004,".text"
"000072b0","FUN_000072b0",$a,00000094,".text"
"00053944","FUN_00053944",$a,0000011c,".text"
